PID, Date, Time, RunType, Scenario, Trial, Task, Mode, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,5/5/2015,16:16:32,Practice,NA,1,Radio,Visual Only,Start Run,0:00:00.00,0,NA,NA,
xxx,5/5/2015,16:16:35,Practice,NA,1,Radio,Visual Only,chime,0:00:03.22,3.223,NA,NA,
xxx,5/5/2015,16:16:51,Main Run,4A,1,TDT Long,NA,change scenario,0:00:19.72,19.726,NA,NA,
xxx,5/5/2015,16:17:29,Practice,4A,1,Nav Easy,Visual Only,Start Run,0:00:00.00,0,NA,NA,
xxx,5/5/2015,16:17:30,Practice,4A,1,Nav Easy,Visual Only,(nav) end prompt,0:00:01.12,1.125,NA,NA,
xxx,5/5/2015,16:17:52,Practice,4A,1,Nav Easy,Visual Only,(nav) line 4,0:00:23.37,23.376,no,NA,
xxx,5/5/2015,16:17:52,Practice,4A,1,Nav Easy,Visual Only,show confirmation,0:00:23.39,23.392,NA,NA,
xxx,5/5/2015,16:17:57,Practice,4A,2,Nav Easy,Visual Only,start trial 2,0:00:28.43,5.047,NA,NA,
xxx,5/5/2015,16:17:58,Practice,4A,2,Nav Easy,Visual Only,(nav) end prompt,0:00:29.56,1.125,NA,NA,
xxx,5/5/2015,16:18:12,Practice,4A,1,Nav Easy,Audio Only,change scenario,0:00:43.00,43.008,NA,NA,
xxx,5/5/2015,16:18:14,Practice,4A,1,Nav Easy,Audio Only,Start Run,0:00:00.00,0,NA,NA,
xxx,5/5/2015,16:18:15,Practice,4A,1,Nav Easy,Audio Only,(nav) end prompt,0:00:01.12,1.125,NA,NA,
xxx,5/5/2015,17:02:17,Main Run,2A,1,TDT Long,NA,change scenario,17:02:17.97,63566442137.971,NA,NA,
xxx,5/5/2015,17:02:49,Practice,NA,1,Radio,Visual Only,change scenario,17:02:49.78,63566442169.788,NA,NA,
xxx,5/5/2015,17:04:51,Practice,NA,1,Radio,Visual Only,change scenario,17:04:51.24,63566442291.245,NA,NA,
xxx,5/5/2015,17:07:51,Practice,NA,1,Nav Easy,Audio Only,change scenario,17:07:51.71,63566442471.712,NA,NA,
xxx,5/5/2015,17:07:53,Main Run,3B,1,TDT Short,NA,change scenario,17:07:53.09,63566442473.091,NA,NA,
xxx,5/5/2015,17:09:28,Practice,NA,1,Radio,Visual Only,Start Run,0:00:00.00,0,NA,NA,
xxx,5/5/2015,17:09:32,Practice,NA,1,Radio,Visual Only,chime,0:00:03.22,3.22,NA,NA,
xxx,5/5/2015,17:09:33,Practice,NA,1,Radio,Visual Only,r_command_correct,0:00:04.54,4.549,NA,NA,
xxx,5/5/2015,17:09:38,Practice,NA,1,Radio,Visual Only,r_confirm_correct,0:00:09.36,9.361,NA,yes,
xxx,5/5/2015,17:09:38,Practice,NA,2,TDT Short,NA,next trial,0:00:09.39,0.032,NA,NA,
xxx,5/5/2015,17:09:43,Practice,NA,2,TDT Short,NA,chime,0:00:14.42,5.031,NA,NA,
xxx,5/5/2015,17:09:48,Practice,NA,3,Radio,Visual Only,Jump to trial 3,0:00:00.00,-14.424,NA,NA,
xxx,5/5/2015,17:09:51,Practice,NA,3,Radio,Visual Only,chime,0:00:03.21,3.219,NA,NA,
