"pid","Elapsed_Time","Task","delay","trial","Details","gender","age","scenario","error","part","delete"
101,"0:03:18.66",NA,NA,NA,"T (Time Sync)","f",19,1,"low",1,FALSE
101,"0:03:21.82","Radio","Short","1","B (Begin)","f",19,1,"low",1,FALSE
101,"0:03:21.82","Radio","Short","1","F (Forward (On 'Road'))","f",19,1,"low",1,FALSE
101,"0:03:27.56","Radio","Short","1","D (Down )","f",19,1,"low",1,FALSE
101,"0:03:28.23","Radio","Short","1","F (Forward (On 'Road'))","f",19,1,"low",1,FALSE
101,"0:03:29.63","Radio","Short","1","D (Down )","f",19,1,"low",1,FALSE
101,"0:03:30.23","Radio","Short","1","F (Forward (On 'Road'))","f",19,1,"low",1,FALSE
101,"0:03:35.85","Radio","Short","1","E (End)","f",19,1,"low",1,FALSE
101,"0:03:41.86","Radio","Short","2","F (Forward (On 'Road'))","f",19,1,"low",1,FALSE
101,"0:03:41.86","Radio","Short","2","B (Begin)","f",19,1,"low",1,FALSE
101,"0:03:51.16","Radio","Short","2","D (Down )","f",19,1,"low",1,FALSE
101,"0:03:51.90","Radio","Short","2","F (Forward (On 'Road'))","f",19,1,"low",1,FALSE
101,"0:03:52.48","Radio","Short","2","E (End)","f",19,1,"low",1,FALSE
101,"0:03:59.00","Radio","Short","3","F (Forward (On 'Road'))","f",19,1,"low",1,FALSE
101,"0:03:59.00","Radio","Short","3","B (Begin)","f",19,1,"low",1,FALSE
101,"0:03:59.70","Radio","Short","3","O (Other Off 'Road')","f",19,1,"low",1,FALSE
101,"0:04:00.16","Radio","Short","3","F (Forward (On 'Road'))","f",19,1,"low",1,FALSE
101,"0:04:04.50","Radio","Short","3","D (Down )","f",19,1,"low",1,FALSE
101,"0:04:05.76","Radio","Short","3","F (Forward (On 'Road'))","f",19,1,"low",1,FALSE
101,"0:04:10.23","Radio","Short","3","E (End)","f",19,1,"low",1,FALSE
101,"0:04:16.25","Radio","Short","4","F (Forward (On 'Road'))","f",19,1,"low",1,FALSE
